cell_label,subclass,supertype,class,neurotransmitter,parcellation_structure,parcellation_substructure,parcellation_division
1018093343101550699,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101400790,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101550697,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101260075,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101550779,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PDTg,PDTg,P
1018093343101560814,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PDTg,PDTg,P
1018093343101400812,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PDTg,PDTg,P
1018093343101100282,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101110830,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101870100,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101260115,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101870084,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101870126,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101260140,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101110648,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343201100272,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101100539,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101110880,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101720823,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101400667,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PDTg,PDTg,P
1018093343101560698,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PDTg,PDTg,P
1018093343101260173,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101400683,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PDTg,PDTg,P
1018093343101870090,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101870204,287 MV-SPIV-PRP Dmbx1 Gly-Gaba,1101 MV-SPIV-PRP Dmbx1 Gly-Gaba_3,27 MY GABA,GABA,PB,PB-unassigned,P
1018093343101100217,287 MV-SPIV-PRP Dmbx1 Gly-Gaba,1101 MV-SPIV-PRP Dmbx1 Gly-Gaba_3,27 MY GABA,GABA,PB,PB-unassigned,P
1018093343101870032,217 PB Lmx1a Glut,0895 PB Lmx1a Glut_1,23 P Glut,Glut,PB,PB-unassigned,P
1018093343101110438,217 PB Lmx1a Glut,0895 PB Lmx1a Glut_1,23 P Glut,Glut,PB,PB-unassigned,P
1018093343101100593,234 MEV Ppp1r1c Glut,0952 MEV Ppp1r1c Glut_1,19 MB Glut,Glut,PB,PB-unassigned,P
1018093343101260308,217 PB Lmx1a Glut,0895 PB Lmx1a Glut_1,23 P Glut,Glut,PB,PB-unassigned,P
1018093343101720941,217 PB Lmx1a Glut,0895 PB Lmx1a Glut_1,23 P Glut,Glut,PB,PB-unassigned,P
1018093343101100568,134 PH-ant-LHA Otp Bsx Glut,0591 PH-ant-LHA Otp Bsx Glut_1,14 HY Glut,Glut,PB,PB-unassigned,P
1018093343101260195,234 MEV Ppp1r1c Glut,0952 MEV Ppp1r1c Glut_1,19 MB Glut,Glut,PB,PB-unassigned,P
1018093343101100508,234 MEV Ppp1r1c Glut,0952 MEV Ppp1r1c Glut_1,19 MB Glut,Glut,PB,PB-unassigned,P
1018093343101720913,234 MEV Ppp1r1c Glut,0952 MEV Ppp1r1c Glut_1,19 MB Glut,Glut,PB,PB-unassigned,P
1018093343101870114,234 MEV Ppp1r1c Glut,0952 MEV Ppp1r1c Glut_1,19 MB Glut,Glut,PB,PB-unassigned,P
1018093343101260147,234 MEV Ppp1r1c Glut,0952 MEV Ppp1r1c Glut_1,19 MB Glut,Glut,PB,PB-unassigned,P
1018093343101250096,234 MEV Ppp1r1c Glut,0952 MEV Ppp1r1c Glut_1,19 MB Glut,Glut,PB,PB-unassigned,P
1018093343101250121,234 MEV Ppp1r1c Glut,0952 MEV Ppp1r1c Glut_1,19 MB Glut,Glut,PB,PB-unassigned,P
1018093343101720982,234 MEV Ppp1r1c Glut,0952 MEV Ppp1r1c Glut_1,19 MB Glut,Glut,PB,PB-unassigned,P
1018093343101100521,234 MEV Ppp1r1c Glut,0952 MEV Ppp1r1c Glut_1,19 MB Glut,Glut,PB,PB-unassigned,P
1018093343101260159,234 MEV Ppp1r1c Glut,0952 MEV Ppp1r1c Glut_1,19 MB Glut,Glut,PB,PB-unassigned,P
1018093343101100592,234 MEV Ppp1r1c Glut,0952 MEV Ppp1r1c Glut_1,19 MB Glut,Glut,PB,PB-unassigned,P
1018093343101870073,234 MEV Ppp1r1c Glut,0952 MEV Ppp1r1c Glut_1,19 MB Glut,Glut,PB,PB-unassigned,P
1018093343101720942,234 MEV Ppp1r1c Glut,0952 MEV Ppp1r1c Glut_1,19 MB Glut,Glut,PB,PB-unassigned,P
1018093343101100483,234 MEV Ppp1r1c Glut,0952 MEV Ppp1r1c Glut_1,19 MB Glut,Glut,PB,PB-unassigned,P
1018093343101870065,234 MEV Ppp1r1c Glut,0952 MEV Ppp1r1c Glut_1,19 MB Glut,Glut,PB,PB-unassigned,P
1018093343101260085,234 MEV Ppp1r1c Glut,0952 MEV Ppp1r1c Glut_1,19 MB Glut,Glut,PB,PB-unassigned,P
1018093343101260135,234 MEV Ppp1r1c Glut,0952 MEV Ppp1r1c Glut_1,19 MB Glut,Glut,PB,PB-unassigned,P
1018093343101260174,234 MEV Ppp1r1c Glut,0952 MEV Ppp1r1c Glut_1,19 MB Glut,Glut,PB,PB-unassigned,P
1018093343101250060,234 MEV Ppp1r1c Glut,0952 MEV Ppp1r1c Glut_1,19 MB Glut,Glut,PB,PB-unassigned,P
1018093343101100509,234 MEV Ppp1r1c Glut,0952 MEV Ppp1r1c Glut_1,19 MB Glut,Glut,PB,PB-unassigned,P
1018093343101100490,217 PB Lmx1a Glut,0899 PB Lmx1a Glut_5,23 P Glut,Glut,PB,PB-unassigned,P
1018093343101260145,217 PB Lmx1a Glut,0899 PB Lmx1a Glut_5,23 P Glut,Chol,PB,PB-unassigned,P
1018093343101110709,217 PB Lmx1a Glut,0899 PB Lmx1a Glut_5,23 P Glut,Chol,PB,PB-unassigned,P
1018093343101100518,217 PB Lmx1a Glut,0899 PB Lmx1a Glut_5,23 P Glut,Glut,PB,PB-unassigned,P
1018093343101110757,217 PB Lmx1a Glut,0899 PB Lmx1a Glut_5,23 P Glut,Glut,PB,PB-unassigned,P
1018093343101400697,271 NI-RPO Gata3 Nr4a2 Gaba,1052 NI-RPO Gata3 Nr4a2 Gaba_1,26 P GABA,Glut-GABA,PDTg,PDTg,P
1018093343101400689,271 NI-RPO Gata3 Nr4a2 Gaba,1053 NI-RPO Gata3 Nr4a2 Gaba_2,26 P GABA,Glut-GABA,PDTg,PDTg,P
1018093343101400687,271 NI-RPO Gata3 Nr4a2 Gaba,1052 NI-RPO Gata3 Nr4a2 Gaba_1,26 P GABA,Glut-GABA,PDTg,PDTg,P
1018093343101400626,271 NI-RPO Gata3 Nr4a2 Gaba,1053 NI-RPO Gata3 Nr4a2 Gaba_2,26 P GABA,GABA,PDTg,PDTg,P
1018093343101400716,271 NI-RPO Gata3 Nr4a2 Gaba,1053 NI-RPO Gata3 Nr4a2 Gaba_2,26 P GABA,GABA,PDTg,PDTg,P
1018093343101550030,273 PDTg-PCG Pax6 Gaba,1064 PDTg-PCG Pax6 Gaba_4,26 P GABA,Glut-GABA,PDTg,PDTg,P
1018093343101550102,273 PDTg-PCG Pax6 Gaba,1064 PDTg-PCG Pax6 Gaba_4,26 P GABA,Glut-GABA,PDTg,PDTg,P
1018093343101100601,217 PB Lmx1a Glut,0900 PB Lmx1a Glut_6,23 P Glut,Glut,PB,PB-unassigned,P
1018093343101260144,217 PB Lmx1a Glut,0900 PB Lmx1a Glut_6,23 P Glut,Glut,PB,PB-unassigned,P
1018093343101110848,217 PB Lmx1a Glut,0900 PB Lmx1a Glut_6,23 P Glut,Glut,PB,PB-unassigned,P
