cell_label,subclass,supertype,class,neurotransmitter,parcellation_structure,parcellation_substructure
1018093344102490044-1,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101680591-3,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102490304-3,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102490208-3,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101870040-2,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102290196-3,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102290538-4,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101670402-5,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101670456-6,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101670577-5,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101670409-5,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101670596-5,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,PF,PF
1018093344101670616-6,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101670265-7,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290144-3,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PF,PF
1018093344101670469-5,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102490068-3,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102490135-4,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102290324-3,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102290343-6,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102290564-2,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102290583-5,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101670431-2,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101670515-4,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101670518-5,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101670566-5,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101670672-5,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102490114-4,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102490214-4,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101880050-2,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101670692-2,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102280631-3,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102280633-2,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101670455-6,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101670461-4,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101680630-4,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101870100-5,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102290221-3,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101670581-4,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101880183-6,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,PF,PF
1018093344102290544-4,326 OPC NN,1179 OPC NN_1,31 OPC-Oligo,,PF,PF
1018093344102290382-4,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,PF,PF
1018093344101670502-4,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,PF,PF
1018093344102290405-3,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290245-5,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,PF,PF
1018093344101870170-5,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,PF,PF
1018093344102290491-2,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,PF,PF
1018093344102290304-4,326 OPC NN,1179 OPC NN_1,31 OPC-Oligo,,PF,PF
1018093344101670634-6,326 OPC NN,1179 OPC NN_1,31 OPC-Oligo,,PF,PF
1018093344101870199-7,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,PF,PF
1018093344102290517-5,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,PF,PF
1018093344102290522-6,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,PF,PF
1018093344102290283-5,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,PF,PF
1018093344101870202-3,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,PF,PF
1018093344102280645,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,PF,PF
1018093344201880079,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,PF,PF
1018093344102290430-3,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,PF,PF
1018093344102290585-3,327 Oligo NN,1181 COP NN_1,31 OPC-Oligo,,PF,PF
1018093344101670357-4,327 Oligo NN,1181 COP NN_1,31 OPC-Oligo,,PF,PF
1018093344102490244-3,327 Oligo NN,1181 COP NN_1,31 OPC-Oligo,,PF,PF
1018093344102480311-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670637-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670511-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670348-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290077-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670332-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670349-2,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101680531-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670273-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290462-6,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102290364-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290413-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290436-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102490015,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670378-3,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670422-3,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670439-6,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344201670471,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290367-6,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290192-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290246-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670385-3,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670559-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102490148-2,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102490212-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102490286-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102490377-3,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290338-4,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102290361-5,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102290384-6,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102290483-5,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102290489-5,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101670514-6,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670544-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670555-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670591-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670629-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670680-3,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101680512-6,154 PF Fzd5 Glut,0675 PF Fzd5 Glut_2,18 TH Glut,Glut,PF,PF
1018093344101870024-2,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101870076-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101870101-6,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101870118-7,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101880137-3,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102280669-1,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290271-3,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290292-6,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290334-2,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290401-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290433-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290492-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102480221-2,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102490254-2,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102490293-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102490314-3,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670530-3,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670628-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290555-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290603-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102490237-2,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344201670419,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101880128-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290467-3,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670448-6,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102490042-1,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102480186-1,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670582-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290366-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670651-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290606-3,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670318-6,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290589-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290322-6,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290604-3,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290465-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290452-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344202490023,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670521-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290203-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670411-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670552-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101680590-2,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670541-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101870177-6,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670487-7,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101680331-3,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670479-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102490041-2,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670668-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670462-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670505-7,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102490385-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670418-6,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670472-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290302-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102490108-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101870171-6,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290229-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670669-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102480251-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102280719,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670361-6,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670528-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670585-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101880116-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670467-7,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290346-3,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290470-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670535-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102490144-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102490265-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102490363-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290342-3,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670621-6,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101680563-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102090587,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290293-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290468-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102490223-2,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102490337-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101680550-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101680610-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101870096-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101870148-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101880075-6,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101880253-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670526-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102090705,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290157-6,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290168-7,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290407-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290408-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290535-6,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670374-3,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670583-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102480160-3,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102490220-3,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344201670323,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670584-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101870239-6,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101880130-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101880216-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290511-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102490140-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290395-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290502-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670664-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102480113-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101870094-5,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102280732,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102490195-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344202290120-1,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670598-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102090770,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102490188-2,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101870122-7,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102290426-4,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102290485-6,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102290143-4,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102290268-6,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,PF,PF
1018093344102290278-4,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102290558-4,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102490059-3,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102490163-2,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102490190-3,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102490200-5,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102490357-4,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102490388-5,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101670300-3,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,PF,PF
1018093344101670589-5,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101670618-5,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101680405-4,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102490172-3,154 PF Fzd5 Glut,0675 PF Fzd5 Glut_2,18 TH Glut,Glut,PF,PF
1018093344101870203-7,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101880164-6,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102290381-4,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102290613-2,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101670606-4,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102090737,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344102490241-3,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102490330-2,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101870120-6,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670527-5,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101680539-5,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101870078-5,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102290506-3,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101670603-4,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101870117-4,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101870121-7,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102290429-3,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102480070-4,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101870204-5,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101870206-6,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101880129-5,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101870105-7,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102290350-5,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102290590-3,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PF,PF
1018093344101680575-4,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102480020-1,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
